specialist_id,name,hazard_family,status,evidence_tier,is_formula,has_trained_artifact,target_definition,bust_formula,target_manifest,evidence_package,promotion_gate_status,active_in_production
precipitation,Precipitation Reliability Specialist,precipitation,formula_baseline,FORMULA_BASELINE,True,False,"Forecast bust for heavy rainfall (>= 64.5mm/24h) and amount error","|F_24h - O_24h| > 25.0 mm OR (F_24h >= 64.5 AND O_24h < 64.5) OR (F_24h < 64.5 AND O_24h >= 64.5)",data/precipitation_target_manifest.json,docs/science-evidence/pilot_evidence_package_precipitation.md,UNPROMOTED_FORMULA,False
cyclone,Cyclone Reliability Specialist,cyclone,formula_baseline,FORMULA_BASELINE,True,False,"NWP track displacement (>150km) and intensity bust (>20 knots)","|Track_Error_48h| > 120km OR |Intensity_Error_48h| > 15 knots",data/cyclone_target_manifest.json,None,UNPROMOTED_FORMULA,False
monsoon,Monsoon/LPS Reliability Specialist,monsoon_lps,formula_baseline,FORMULA_BASELINE,True,False,Low pressure system track displacement and moisture flux error,Low pressure center displacement > 150km OR Swath error > 50mm,data/monsoon_target_manifest.json,None,UNPROMOTED_FORMULA,False
western_disturbance,Western Disturbance Specialist,western_disturbance,formula_baseline,FORMULA_BASELINE,True,False,WD orographic precipitation and trough timing error,Precip error > 20mm OR Snow equiv error > 15cm OR Timing error > 6h,data/western_disturbance_target_manifest.json,None,UNPROMOTED_FORMULA,False
heatwave,Heatwave Reliability Specialist,heatwave,formula_baseline,FORMULA_BASELINE,True,False,Maximum temperature forecast error >= 3.0C during heatwave conditions,|Tmax_forecast - Tmax_observed| >= 3.0C OR threshold breach > 45C,data/heatwave_target_manifest.json,None,UNPROMOTED_FORMULA,False
spatial_reliability,Spatial Reliability Engine,spatial_error_field,experimental,EXPERIMENTAL_HEURISTIC,True,False,Spatial displacement error vectors,Centroid displacement > 75km OR Swath overlap IoU < 0.30,data/spatial_target_manifest.json,None,EXPERIMENTAL_RESEARCH,False
compound_hazard,Compound Hazard Engine,compound_events,experimental,EXPERIMENTAL_HEURISTIC,True,False,Joint co-occurrence of multiple hazard thresholds,Joint co-occurrence failure across 2+ simultaneous hazard thresholds,None,None,EXPERIMENTAL_RESEARCH,False
common_mode,Common Mode Detector,common_mode_failure,experimental,EXPERIMENTAL_HEURISTIC,True,False,Multi-model simultaneous failure detection,Multi-model simultaneous failure across 2+ NWP ensemble members,None,None,EXPERIMENTAL_RESEARCH,False
cross_system,Cross-System Transfer Engine,cross_system_transfer,experimental,EXPERIMENTAL_HEURISTIC,True,False,Transferability of failure motifs between NWP systems,Delta Brier > 0.035 under zero-shot transfer across aligned NWP systems,None,None,EXPERIMENTAL_RESEARCH,False
severe_wind,Severe Wind Specialist,severe_wind,quarantined,QUARANTINED,False,False,Surface wind gust bust >= 15 m/s,Surface wind gust bust >= 15 m/s,None,None,QUARANTINED_MISSING_PACKAGE,False
